Date of Final Decision,Submission Number ,Device,Company,Panel (lead),Primary Product Code
9/27/2024,K240369,CAC (gated) Algorithm,BunkerHill Health,Radiology,JAK
9/27/2024,K241480,JBS-LVO,"JLK, Inc.",Radiology,QAS
9/27/2024,K240993,encevis (2.1),AIT Austrian Institute of Technology GmbH,Neurology,OMB
9/24/2024,K242292,uAI Easy Triage ICH,"Shanghai United Imaging Intelligence Co., Ltd.",Radiology,QAS
9/23/2024,K240013,EchoGo Heart Failure (2.0),Ultromics Limited,Cardiovascular,QUO
9/20/2024,K240036,PIUR tUS Infinity,PIUR Imaging GmbH,Radiology,QIH
9/13/2024,K240929,Sleep Apnea Notification Feature (SANF),Apple Inc.,Anesthesiology,QZW
9/12/2024,K241582,"Aplio i900/i800/i700 Diagnostic Ultrasound System, Software V7.0 (TUS-AI900, TUS-AI800, TUS-AI700)",Canon Medical Systems Corporation,Radiology,IYN
9/12/2024,K241280,Constellation (CON-001),"Q Bio, Inc.",Radiology,QIH
9/12/2024,K240942,CINA-CSpine,Avicenna.AI,Radiology,QAS
9/11/2024,K241380,FETOLY-HEART,Diagnoly,Radiology,IYN
9/10/2024,K240094,LumiNE US; Lumi,Augmedit B.V.,Radiology,QIH
9/9/2024,K240697,"See-Mode Augmented Reporting Tool, Thyroid (SMART-T)",See-Mode Technologies Pte. Ltd.,Radiology,QDQ
9/9/2024,K241681,Overjet Image Enhancement Assist,Overjet Inc,Radiology,QIH
9/9/2024,K240791,ADAS 3D,Adas3D Medical S.L,Radiology,QIH
9/6/2024,K240411,uAI Portal,"Shanghai United Imaging Intelligence Co., Ltd.",Radiology,QIH
9/5/2024,K233998,TRAQinform IQ,"AIQ Global, Inc.",Radiology,LLZ
9/4/2024,K233977,Velacur,Sonic Incytes,Radiology,IYO
8/30/2024,K242275,syngo.via MI Workflows; Scenium; syngo MBF,"Siemens Medical Solutions USA, Inc.",Radiology,QIH
8/30/2024,K242300,MI View&GO,"Siemens Medical Solutions USA, Inc.",Radiology,QIH
8/30/2024,K241847,Imbio PHA (4.0.0),"Imbio, Inc",Radiology,QIH
8/30/2024,K241585,uMI Panorama,"Shanghai United Imaging Healthcare Co.,Ltd.",Radiology,KPS
8/30/2024,K240003,Velmeni for Dentists (V4D),Velmeni Inc.,Radiology,MYN
8/29/2024,K233826,Kosmos,"EchoNous, Inc.",Radiology,IYN
8/27/2024,K241684,Overjet Charting Assist,"Overjet, Inc",Radiology,QIH
8/22/2024,K241098,NeuroQuant,"CorTechs Labs, Inc.",Radiology,QIH
8/21/2024,K240290,AiMIFY (1.x),"Subtle Medical, Inc.",Radiology,LLZ
8/20/2024,K240200,HYDROS Robotic System; HYDROS TRUS Probe; HYDROS Handpiece,Procept BioRobotics,General and Plastic Surgery,PZP
8/20/2024,K241496,"Vantage Galan 3T, MRT-3020, V10.0 with AiCE Reconstruction Processing Unit for MR",Canon Medical Systems Corporation,Radiology,LNH
8/19/2024,K241440,HealthCCSng,Nano-X AI Ltd.,Radiology,JAK
8/16/2024,K233755,HeartKey® Rhythm,B-Secur Limited,Cardiovascular,DQK
8/16/2024,K240740,qCT LN Quant,Qure.ai Technologies,Radiology,QIH
8/15/2024,K241211,CoLumbo,Smart Soft Healthcare,Radiology,QIH
8/15/2024,K241596,uMI Panvivo,"Shanghai United Imaging Healthcare Co., Ltd.",Radiology,KPS
8/12/2024,K242054,OptimMRI (v2),"Rebrain, SAS",Radiology,QIH
8/8/2024,K233822,i2Contour,MRIMath LLC,Radiology,QIH
8/5/2024,K240953,AI Platform 2.0 (AIP002),Exo Imaging,Radiology,QIH
8/5/2024,K233992,Precision AI Surgical Planning System (PAI-SPS),Precision AI Pty Ltd,Orthopedic,QHE
8/2/2024,K233984,Acumen Assisted Fluid Management (AFM) Software Feature,"Edwards Lifesciences, LLC",Cardiovascular,QMS
8/1/2024,K240301,MammoScreen® (3),Therapixel,Radiology,QDQ
8/1/2024,K234141,AISAP Cardio V1.0,Aisap,Radiology,POK
8/1/2024,K233731,CardIQ Suite,GE Medical Systems SCS,Radiology,JAK
7/25/2024,K241887,GI Genius™ Module 100 (GGM100.US); GI Genius™ Module 200 (GGM200.US); ColonPRO™ 4.0 (CPRO40.US); GI Genius™ Module 300 (GGM300-US); ColonPRO™ 4.0 (CPRO40S-US),Cosmo Artificial Intelligence - AI Ltd,Gastroenterology-Urology,QNP
7/24/2024,K240044,CADDIE,Odin Medical Limited,Gastroenterology-Urology,QNP
7/22/2024,K240704,"ACUSON Sequoia Diagnostic Ultrasound System, ACUSON Sequoia Select Diagnostic Ultrasound System, ACUSON Origin Diagnostic Ultrasound System, ACUSON Origin ICE  Diagnostic Ultrasound System","Siemens Medical Solutions, USA, Inc.",Radiology,IYN
7/17/2024,K241121,MICSI-RMT,"Microstructure Imaging, Inc.",Radiology,LLZ
7/17/2024,K240845,Rayvolve,AZmed SAS,Radiology,QBS
7/16/2024,K240944,Swoop® Portable MR Imaging® System,"Hyperfine, Inc.",Radiology,LNH
7/15/2024,K240285,Huxley SANSA Home Sleep Apnea Test (1000-00),Huxley Medical,Anesthesiology,MNR
7/12/2024,K234009,Acorn 3D Software (AC-SEG-4009); Acorn 3DP Model (AC-101-XX),Mighty Oak Medical,Radiology,QIH
7/12/2024,K233457,RUS,Hutom Inc.,Radiology,QIH
7/12/2024,K241727,BriefCase-Triage,"Aidoc Medical, Ltd.",Radiology,QAS
7/11/2024,K241329,SubtleSYNTH (1.x),"Subtle Medical, Inc.",Radiology,QIH
7/3/2024,K241508,SKOUT® system,"Iterative Scopes, Inc.",Gastroenterology-Urology,QNP
7/2/2024,K240736,SMART Bun-Yo-Matic X-Ray,Disior Ltd,Radiology,QIH
7/2/2024,K240555,Tyto Insights for Crackles Detection,Tyto Care Ltd.,Anesthesiology,PHZ
7/1/2024,K240353,Hyper Insight - ICH,SK Inc.,Radiology,QAS
6/25/2024,K240582,VEA Align; spineEOS,EOS imaging,Radiology,QIH
6/21/2024,K240465,O-arm O2 Imaging System,"Medtronic Navigation, Inc",Radiology,OWB
6/21/2024,K233196,Medihub Prostate,JLK Inc.,Radiology,QIH
6/21/2024,K233549,Tempus ECG-AF,"Tempus AI, Inc.",Cardiovascular,SBQ
6/21/2024,K233253,eCARTv5 Clinical Deterioration Suite (“eCART”),"AgileMD, Inc.",Cardiovascular,QNL
6/21/2024,K240631,"V8/XV8/XH8, V7/XV7/XH7, V6/XV6/XH6 Diagnostic Ultrasound System","Samsung Medison Co., Ltd.",Radiology,IYN
6/20/2024,K240642,SMART Bun-Yo-Matic CT,Disior Ltd,Radiology,QIH
6/14/2024,K233955,Clarius OB AI,Clarius Mobile Health Corp.,Radiology,IYN
6/14/2024,K241083,SIS System,"Surgical Information Sciences, Inc.",Radiology,QIH
6/13/2024,K233925,Relu Creator,Relu BV,Radiology,QIH
6/13/2024,K233662,Radiography 7300 C,Philips Medical Systems DMC GmbH,Radiology,KPR
6/12/2024,K240516,RS85 Diagnostic Ultrasound System,"Samsung Medison Co., Ltd.",Radiology,IYN
6/7/2024,K234042,EFAI Bonesuite XR Bone Age Pro Assessment System (BAP-XR-100),"Ever Fortune.AI Co., Ltd.",Radiology,QIH
6/7/2024,K241038,Cardiac CT Function Software Application,Circle Cardiovascular Imaging,Radiology,QIH
6/7/2024,K231010,Corvair,"AliveCor, Inc.",Cardiovascular,MHX
6/7/2024,K232035,Impala,"AliveCor, Inc.",Cardiovascular,DPS
5/31/2024,K240612,CINA-VCF,Avicenna.AI,Radiology,QFM
5/24/2024,K234154,uPMR 790,"Shanghai United Imaging Healthcare Co., Ltd.",Radiology,OUO
5/24/2024,K240769,LVivo IQS,DiA Imaging Analysis Ltd.,Radiology,QIH
5/23/2024,K233108,VinDr-Mammo,VinBigData Joint Stock Company,Radiology,QFM
5/23/2024,K240294,Syngo Carbon Enterprise Access (VA40A),Siemens Healthcare GmbH,Radiology,LLZ
5/21/2024,K233543,YSIO X.pree,Siemens Medical Solutions,Radiology,KPR
5/17/2024,DEN230035,DentalMonitoring,Dental Monitoring SAS,Dental,SBC
5/17/2024,K233209,uOmnispace.CT,"Shanghai United Imaging Healthcare Co., Ltd.",Radiology,QIH
5/16/2024,K233625,RAYDENT SW,"RAY Co., Ltd.",Dental,PNN
5/15/2024,K241112,BriefCase-Quantification,"Aidoc Medical, Ltd.",Radiology,QIH
5/15/2024,K233247,Heuron ICH,"Heuron Co., Ltd.",Radiology,QAS
5/15/2024,DEN230043,Notal Vision Home Optical Coherence Tomography (OCT) System,Notal Vision Inc,Ophthalmic,SAX
5/10/2024,K232410,SmartChest,Milvue,Radiology,QFM
5/7/2024,K232928,DeepContour (V1.0),"Wisdom Technologies., Inc.",Radiology,QKB
5/7/2024,K233864,ASSURE Wearable ECG,"Kestra Medical Technologies, Inc.",Cardiovascular,MWJ
5/3/2024,K233687,ECHELON Synergy V10.0,Fujifilm Healthcare Americas Corporation,Radiology,LNH
5/3/2024,K232491,CT 5300,"Philips Healthcare (Suzhou) Co., Ltd.",Radiology,JAK
5/3/2024,K232416,AUTION EYE AI-4510 Urine Particle Analysis System,Arkray Inc.,Hematology,LKM
4/30/2024,K232923,Ethos Treatment Management (3.0); Ethos Treatment Planning (2.0),Varian Medical Systems Inc.,Radiology,IYE
4/29/2024,K240062,ARVIS® Shoulder,"Insight Medical Systems, Inc.",Neurology,OLO
4/26/2024,K232799,syngo.via RT Image Suite,"Siemens Medical Solutions USA, Inc.",Radiology,MUJ
4/26/2024,K240406,Sonio Detect,Sonio,Radiology,IYN
4/26/2024,K233673,uMR Jupiter,"Shanghai United Imaging Healthcare Co., Ltd",Radiology,LNH
4/25/2024,K232331,InVision Precision LVEF (LVEF),InVision Medical Technology Corporation,Radiology,QIH
4/24/2024,K240850,EPIQ Series Diagnostic Ultrasound Systems; Affiniti Series Diagnostic Ultrasound Systems,Philips Ultrasound LLC,Radiology,IYN
4/23/2024,K240058,AEYE-DS,AEYE Health Inc.,Ophthalmic,PIB
4/22/2024,K234068,ART-Plan (v.2.2.0),Therapanacea SAS,Radiology,MUJ
4/22/2024,K233582,Rapid,iSchema View Inc.,Radiology,LLZ
4/19/2024,K240781,SKOUT® system,"Iterative Scopes, Inc.",Gastroenterology-Urology,QNP
4/17/2024,K233186,uOmnispace.MR,"Shanghai United Imaging Healthcare Co., Ltd.",Radiology,QIH
4/15/2024,K240773,VisAble.IO,Techsomed,Radiology,QTZ
4/12/2024,K240238,"Vantage Fortian/Orian 1.5T, MRT-1550, V9.0 with AiCE Reconstruction Processing Unit for MR",Canon Medical Systems Corporation,Radiology,LNH
4/11/2024,K233698,True Enhance DL,GE Healthcare Japan Corporation,Radiology,JAK
4/10/2024,K240744,uMR 680,"Shanghai United Imaging Healthcare Co., Ltd.",Radiology,LNH
4/9/2024,DEN230023,Rho,16 Bit Inc,Radiology,SAO
4/8/2024,K240291,EFAI CARDIOSUITE CTA ACUTE AORTIC SYNDROME ASSESSMENT SYSTEM,"Ever Fortune.AI, Co., Ltd.",Radiology,QAS
4/5/2024,K233666,CorVista System with PH Add-On,"Analytics for Life, Inc.",Cardiovascular,SAT
4/5/2024,K233249,APPRAISE-HRI,"The Surgeon General, Department of the Army (TSG-DA)",Cardiovascular,SAR
4/4/2024,K240172,Preview Shoulder,Genesis Software Innovations,Radiology,QIH
4/3/2024,K232899,AI-Rad Companion Organs RT,Siemens Medical Solutions U.S.A.,Radiology,QKB
4/3/2024,K233618,Oxevision Sleep Device,Oxehealth Limited,Neurology,LEL
4/2/2024,K232835,Aquilion ONE (TSX-308A/3) V1.4 with PIQE Reconstruction System,Canon Medical Systems Corporation,Radiology,JAK
4/2/2024,DEN230036,Sepsis ImmunoScore,"Prenosis, Inc.",General Hospital,SAK
4/1/2024,K233676,Us2.v2,Eko.ai Pte. Ltd d/b/a Us2.ai,Radiology,QIH
3/29/2024,K233211,AVIEW CAC,"Coreline Soft Co., Ltd.",Radiology,QIH
3/28/2024,K233657,NAEOTOM Alpha,"Siemens Medical Solutions USA, Inc.",Radiology,JAK
3/28/2024,K233409,Eko Low Ejection Fraction Tool (ELEFT),"Eko Health, Inc.",Cardiovascular,QYE
3/26/2024,K233650,SOMATOM go.Up; SOMATOM go.Now; SOMATOM go.All; SOMATOM go.Top; SOMATOM go.Sim; SOMATOM go.Open Pro; SOMATOM X.cite; SOMATOM X.ceed,"Siemens Medical Solutions USA, Inc.",Radiology,JAK
3/22/2024,K232322,MAGNETOM Terra; MAGNETOM Terra.X,"Siemens Medical Solutions USA, Inc.",Radiology,LNH
3/22/2024,K232431,syngo.CT Brain Hemorrhage,"Siemens Medical Solutions USA, Inc.",Radiology,QAS
3/22/2024,K240540,uMR Omega,"Shanghai United Imaging Healthcare Co., Ltd.",Radiology,LNH
3/21/2024,K233753,AI-Rad Companion (Pulmonary),Siemens Healthcare GmbH,Radiology,JAK
3/20/2024,K234047,Automatic Registration,Brainlab AG,Neurology,OLO
3/15/2024,K233342,CINA-ASPECTS,Avicenna.AI,Radiology,POK
3/13/2024,K233968,CINA-iPE,Avicenna.AI,Radiology,QAS
3/11/2024,K232140,OTS Hip,Ortoma AB,Neurology,OLO
3/8/2024,K233438,SleepStageML,"Beacon Biosignals, Inc.",Neurology,OLZ
3/7/2024,K233692,"Voluson Signature 20, Voluson Signature 18","GE Medical Systems Ultrasound and Primary care Diagnostics,",Radiology,IYN
3/6/2024,K231677,EdgeFlow UH10,Edgecare Inc.,Radiology,IYO
3/4/2024,K233738,Overjet Caries Assist-Pediatric,"Overjet, Inc",Radiology,MYN
3/1/2024,K233030,BoneMRI,MRIguidance B.V,Radiology,QIH
3/1/2024,K231690,iCAS-LV,HighRAD Ltd.,Radiology,QIH
2/29/2024,K232765,MAGNETOM Cima.X Fit,"Siemens Medical Solutions USA, Inc.",Radiology,LNH
2/29/2024,K231683,inHEART Models,"inHEART, SAS",Radiology,QIH
2/28/2024,K232613,CT Cardiomegaly,"Innolitics, LLC",Radiology,QIH
2/23/2024,K233590,Overjet Charting Assist,"Overjet, Inc",Radiology,QIH
2/22/2024,K233749,Revolution Ascend Sliding,"GE Hangwei Medical Systems Co., Ltd.",Radiology,JAK
2/21/2024,K232148,X-Guide Surgical Navigation System,"X-Nav Technologies, LLC",Dental,QRY
2/15/2024,K232915,EpiMonitor,Empatica Srl,Neurology,POS
2/13/2024,K231855,QOCA® image Smart RT Contouring System,Quanta Computer Inc.,Radiology,QKB
2/13/2024,K233788,"EPIQ Series Diagnostic Ultrasound System, Affiniti Series Diagnostic Ultrasound System",Philips Ultrasound LLC,Radiology,IYN
2/9/2024,K231355,Aurora,EnsoData,Anesthesiology,MNR
2/8/2024,K233080,HealthFLD,Nano-X AI Ltd.,Radiology,JAK
2/6/2024,DEN230041,Sleep Apnea Feature,"Samsung Electronics Co., Ltd",Anesthesiology,QZW
2/5/2024,K232363,"Viz HDS, Viz Volume Plus, Viz ICH+","Viz.ai, Inc.",Radiology,QIH
1/31/2024,K231396,CEPHX- Cephalometric Analysis Software,Orca Dental AI LTD,Radiology,LLZ
1/31/2024,DEN210035,“Genius™ Digital Diagnostics System with the Genius™ Cervical AI algorithm”,Hologic Inc.,Pathology,QYV
1/24/2024,K233195,"Aplio i900, Aplio i800 and Aplio i700 Software V8.1 Diagnostic Ultrasound System",Canon Medical Systems Corporation,Radiology,IYN
1/19/2024,K232156,Rapid ASPECTS (v3),"iSchemaView, Inc.",Radiology,POK
1/19/2024,K233728,SIGNA Champion,GE Healthcare (Tianjin) Company Limited,Radiology,LNH
1/18/2024,K232698,NemoScan,Software Nemotec S.L.,Radiology,QIH
1/17/2024,K231871,Radify Triage,Envisionit DeepAI Ltd,Radiology,QFM
1/16/2024,K233512,Rapid (6.0),"iSchemaView, Inc.",Radiology,QIH
1/13/2024,K233216,CLEWICU System,Clew Medical Ltd.,Cardiovascular,QNL
1/12/2024,K233677,Biograph VK10,"Siemens Medical Solutions USA, Inc.",Radiology,KPS
1/12/2024,K233964,GI Genius™ Module 100 (GGM100.US); GI Genius™ Module 200 (GGM200.US); ColonPRO™ 4.0 (CPRO40.US),Cosmo Artificial Intelligence - AI Ltd,Gastroenterology-Urology,QNP
1/12/2024,DEN230008,DermaSensor,DermaSensor Inc.,General and Plastic Surgery,QZS
1/12/2024,DEN220040,Fibresolve,"Imvaria, Inc",Radiology,QWO
1/11/2024,K232250,SurgiCount+ System,Stryker Instruments,General Hospital,PBZ
1/11/2024,DEN220066,BrainSee,"Darmiyan, Inc.",Neurology,QWT
1/8/2024,K232412,LungQ v3.0.0,Thirona BV,Radiology,JAK
1/8/2024,K231324,DASI Dimensions (V1.0),DASI Simulations,Radiology,QIH
1/7/2024,K231068,autoSCORE,Holberg EEG AS,Neurology,OMB
1/5/2024,K231917,VEA Align,EOS imaging,Radiology,QIH
1/4/2024,K232808,Butterfly iQ3 Ultrasound System,"Butterfly Network, Inc.",Radiology,IYN
1/3/2024,K231779,REMI AI Discrete Detection Module,"Epitel, Inc.",Neurology,OMB
12/26/2023,K231130,TumorSight Viz,"SimBioSys, Inc.",Radiology,QIH
12/22/2023,K231805,qXR-LN,Qure.ai Technologies,Radiology,MYN
12/22/2023,K232535,MAGNETOM Sola; MAGNETOM Altea,"Siemens Medical Solutions USA, Inc.",Radiology,LNH
12/22/2023,K232479,ART-Plan,TheraPanacea,Radiology,MUJ
12/21/2023,K233112,HM70 EVO Diagnostic Ultrasound System,"Samsung Medison CO., LTD.",Radiology,IYN
12/20/2023,K233176,uOmnispace.MI,"Shanghai United Imaging Healthcare Co., Ltd.",Radiology,LLZ
12/20/2023,K230850,United Orthopedic Knee Patient Specific Instrumentation,"Enhatch, Inc.",Orthopedic,OOG
12/18/2023,K231929,iQ-solutions,Sydney Neuroimaging Analysis Centre Pty Ltd,Radiology,QIH
12/18/2023,K231587,MAGNETOM Cima.X,"Siemens Medical Solutions USA, Inc.",Radiology,LNH
12/15/2023,K230751,EW10-EC02 Endoscopy Support Program,FUJIFILM Corporation,Gastroenterology-Urology,QNP
12/15/2023,K232384,Videa Dental Assist,"VideaHealth, Inc.",Radiology,MYN
12/14/2023,K231570,StrokeViewer Perfusion,NICo-Lab B.V.,Radiology,LLZ
12/13/2023,K232237,Tyto Insights for Wheeze Detection,Tyto Care Ltd.,Anesthesiology,PHZ
12/13/2023,K232231,QP-Brain®,Quibim S.L.,Radiology,QIH
12/11/2023,K232096,Transpara Density 1.0.0,Screenpoint Medical B.V.,Radiology,QIH
12/8/2023,K223757,Bonelogic,Disior Ltd,Radiology,LLZ
12/8/2023,K231898,DTX Studio Clinic (4.0),Nobel Biocare AB,Radiology,LLZ
12/7/2023,K232381,LOGIQ Totus,"GE Medical Systems Ultrasound and Primary care Diagnostics,",Radiology,IYN
12/7/2023,K232661,Myocardial Strain Software Application,Circle Cardiovascular Imaging,Radiology,LLZ
12/6/2023,K233562,LINQ II Insertable Cardiac Monitor,"Medtronic, Inc.",Cardiovascular,MXD
12/6/2023,K233334,Aquilion Serve SP (TSX-307B/1) V1.3,Canon Medical Systems Corporation,Radiology,JAK
12/5/2023,K232440,Adravision Perio,Adra Corporation,Radiology,QIH
12/5/2023,K233568,Ceevra Reveal 3+,"Ceevra, Inc.",Radiology,QIH
12/1/2023,K232856,Syngo Carbon Clinicals,Siemens Healthcare GmbH,Radiology,QIH
11/30/2023,K233545,EPIQ Series Diagnostic Ultrasound System,Philips Ultrasound LLC,Radiology,IYN
11/29/2023,K230179,6440 MyLabX90,Esaote S.p.A.,Radiology,IYN
11/28/2023,K231631,BriefCase-Quantification,"Aidoc Medical, Ltd.",Radiology,JAK
11/28/2023,K232000,syngo.via MI Workflows; Scenium; syngo MBF,"Siemens Medical Solutions USA, Inc.",Radiology,QIH
11/27/2023,K233243,ClearPoint System (Software Version 2.2),ClearPoint Neuro Inc.,Neurology,HAW
11/21/2023,K232496,Brainomix 360 Triage Stroke,Brainomix Limited,Radiology,QAS
11/17/2023,K232501,AI Platform (AIP001),Exo Inc,Radiology,QIH
11/15/2023,K232841,Axial3D Insight,Axial Medical Printing Limited,Radiology,QIH
11/14/2023,K232494,MAGNETOM Avanto fit; MAGNETOM Skyra fit,"Siemens Medical Solutions USA, Inc.",Radiology,LNH
11/13/2023,K232083,BriefCase-Quantification,"Aidoc Medical, Ltd.",Radiology,QIH
11/13/2023,K232257,Clarius Bladder AI,Clarius Mobile Health Corp.,Radiology,QIH
11/9/2023,K223754,BraveCX,Bering Ltd,Radiology,QFM
11/9/2023,K231617,MAGNETOM Free.Max; MAGNETOM Free.Star,"Siemens Medical Solutions USA, Inc.",Radiology,LNH
11/8/2023,K231765,Contour ProtégéAI,MIM Software Inc.,Radiology,QKB
11/8/2023,K230534,BriefCase-Quantification,"Aidoc Medical, Ltd.",Radiology,QIH
11/7/2023,K231989,"LOGIQ E10s, LOGIQ Fortis","GE Medical Systems Ultrasound and Primary Care Diagnostic,",Radiology,IYN
11/7/2023,K231966,LOGIQ E10,"GE Medical Systems Ultrasound and Primary care Diagnostics,",Radiology,IYN
11/6/2023,K231470,Lunit INSIGHT DBT,Lunit Inc.,Radiology,QDQ
11/3/2023,K231955,aprevo® Digital Segmentation,"Carlsmed, Inc.",Radiology,QIH
10/30/2023,K232145,"ACUSON Sequoia Diagnostic Ultrasound System, ACUSON Sequoia Select Diagnostic Ultrasound System, ACUSON Origin Diagnostic Ultrasound System","Siemens Medical Solutions USA, Inc.",Radiology,IYN
10/30/2023,K232751,BriefCase-Triage,"Aidoc Medical, Ltd.",Radiology,QAS
10/30/2023,K231965,"Voluson Expert 22, Voluson Expert 20, Voluson Expert 18","GE Medical Systems Ultrasound and Primary Care Diagnostics,",Radiology,IYN
10/27/2023,K230854,SwiftMR,AIRS Medical Inc.,Radiology,LLZ
10/27/2023,K232045,MeVis Liver Suite,MeVis Medical Solutions AG,Radiology,JAK
10/26/2023,K232500,Lumify Diagnostic Ultrasound System,Philips Ultrasound,Radiology,IYN
10/25/2023,K232436,Rapid SDH,"iSchemaView, Inc.",Radiology,QAS
10/25/2023,K230842,SignalHF (IM008),Implicity Inc.,Cardiovascular,QNL
10/23/2023,K231764,Ultrasound System 1300,BK Medical Aps,Radiology,IYN
10/23/2023,K231560,MAGNETOM Vida; MAGNETOM Lumina; MAGNETOM Aera; MAGNETOM Skyra; MAGNETOM Prisma; MAGNETOM Prisma fit,"Siemens Medical Solutions USA, Inc.",Radiology,LNH
10/23/2023,K232305,AI-Rad Companion Brain MR,Siemens Medical Solutions U.S.A.,Radiology,QIH
10/20/2023,K230209,Sonix Health,"Ontact Health Co., Ltd.",Radiology,QIH
10/13/2023,K230370,SpotLight/SpotLight Duo (with DLIR option),Arineta Ltd.,Radiology,JAK
10/13/2023,K231642,Veuron-Brain-pAb3,"Heuron Co., Ltd.",Radiology,LLZ
10/11/2023,K230220,NeuViz 128 Multi-Slice CT Scanner System,"Neusoft Medical Systems Co., Ltd.",Radiology,JAK
10/6/2023,K223905,Vivio® LVEDP System,"Avicena, LLC",Cardiovascular,QUO
10/6/2023,K230144,Denti.AI Detect,"Denti.AI Technology, Inc.",Radiology,MYN
10/6/2023,K232760,Swoop® Portable MR Imaging System®,"Hyperfine, Inc.",Radiology,LNH
10/6/2023,K232787,ScanNav Anatomy Peripheral Nerve Block,Intelligent Ultrasound Limited,Anesthesiology,QRG
10/5/2023,K232704,Clarius Ultrasound Scanner,Clarius Mobile Health Corp.,Radiology,IYN
10/5/2023,K231001,DeepTek CXR Analyzer v1.0,DeepTek Medical Imaging Pvt Ltd,Radiology,MYN
10/5/2023,K232367,cmAngio® V1.0,"CureMetrix, Inc.",Radiology,QIH
10/4/2023,K231025,EFAI NeuroSuite CT ICH Assessment System,"Ever Fortune.AI Co., Ltd.",Radiology,QAS
10/4/2023,K231398,VUNO Med-DeepBrain,VUNO Inc.,Radiology,QIH
10/4/2023,K232023,Momentum Spine,Momentum Health Inc.,Radiology,LDK
10/3/2023,K230085,Lung-CAD,"Imagen Technologies, Inc",Radiology,MYN
10/3/2023,K232712,uMI Panorama,"Shanghai United Imaging Healthcare Co., Ltd.",Radiology,KPS
10/3/2023,K231772,"V8/H8 Diagnostic Ultrasound System, V7/H7 Diagnostic Ultrasound System, V6/H6 Diagnostic Ultrasound System","Samsung Medison Co., Ltd.",Radiology,IYN
9/29/2023,K230045,HipCheck,Stryker Corp.,Radiology,QIH
9/28/2023,K232699,Low Ejection Fraction AI-ECG Algorithm,"Anumana, Inc.",Cardiovascular,QYE
9/28/2023,K231837,Brainomix 360 Triage LVO,Brainomix Limited,Radiology,QAS
9/27/2023,K232616,Volta AF-Xplorer,Volta Medical,Cardiovascular,DQK
9/26/2023,K230252,OFIX MIS App,Orthofix US LLC,Radiology,LLZ
9/25/2023,K231928,EFAI RTSUITE CT HCAP-Segmentation System,"Ever Fortune.AI Co., Ltd.",Radiology,QKB
9/22/2023,K231384,Annalise Enterprise CTB Triage Trauma,Annalise-AI Pty Ltd.,Radiology,QAS
9/22/2023,K231767,Annalise Enterprise CTB Triage Trauma,Annalise-AI Pty Ltd,Radiology,QAS
9/22/2023,K231149,qXR-CTR,Qure.ai Technologies,Radiology,QIH
9/22/2023,K223659,Jazz,AI Medical AG,Radiology,LLZ
